var1,var2,answer,ratio_true_false
Bronchitis,Dyspnea,True,1.0
Bronchitis,Lung_Cancer,False,0.2857142857142857
Bronchitis,Smoker,False,0.0
Bronchitis,Tuberculosis,False,0.0
Bronchitis,Visited_Asia,False,0.0
Bronchitis,X-ray_Result,True,0.8571428571428571
Bronchitis,individual_has_either_Tuberculosis_or_Lung_Cancer,False,0.0
Dyspnea,Bronchitis,False,0.0
Dyspnea,Lung_Cancer,False,0.0
Dyspnea,Smoker,False,0.0
Dyspnea,Tuberculosis,False,0.0
Dyspnea,Visited_Asia,False,0.0
Dyspnea,X-ray_Result,False,0.0
Dyspnea,individual_has_either_Tuberculosis_or_Lung_Cancer,False,0.0
Lung_Cancer,Bronchitis,False,0.14285714285714285
Lung_Cancer,Dyspnea,True,1.0
Lung_Cancer,Smoker,False,0.0
Lung_Cancer,Tuberculosis,False,0.0
Lung_Cancer,Visited_Asia,False,0.0
Lung_Cancer,X-ray_Result,True,0.8571428571428571
Lung_Cancer,individual_has_either_Tuberculosis_or_Lung_Cancer,True,0.7142857142857143
Smoker,Bronchitis,True,1.0
Smoker,Dyspnea,True,1.0
Smoker,Lung_Cancer,True,1.0
Smoker,Tuberculosis,True,1.0
Smoker,Visited_Asia,False,0.0
Smoker,X-ray_Result,True,1.0
Smoker,individual_has_either_Tuberculosis_or_Lung_Cancer,True,1.0
Tuberculosis,Bronchitis,True,1.0
Tuberculosis,Dyspnea,True,1.0
Tuberculosis,Lung_Cancer,False,0.42857142857142855
Tuberculosis,Smoker,False,0.0
Tuberculosis,Visited_Asia,False,0.0
Tuberculosis,X-ray_Result,True,1.0
Tuberculosis,individual_has_either_Tuberculosis_or_Lung_Cancer,True,1.0
Visited_Asia,Bronchitis,False,0.0
Visited_Asia,Dyspnea,False,0.0
Visited_Asia,Lung_Cancer,False,0.14285714285714285
Visited_Asia,Smoker,False,0.0
Visited_Asia,Tuberculosis,True,1.0
Visited_Asia,X-ray_Result,False,0.0
Visited_Asia,individual_has_either_Tuberculosis_or_Lung_Cancer,True,1.0
X-ray_Result,Bronchitis,False,0.0
X-ray_Result,Dyspnea,False,0.14285714285714285
X-ray_Result,Lung_Cancer,False,0.0
X-ray_Result,Smoker,False,0.0
X-ray_Result,Tuberculosis,False,0.0
X-ray_Result,Visited_Asia,False,0.0
X-ray_Result,individual_has_either_Tuberculosis_or_Lung_Cancer,False,0.0
individual_has_either_Tuberculosis_or_Lung_Cancer,Bronchitis,False,0.2857142857142857
individual_has_either_Tuberculosis_or_Lung_Cancer,Dyspnea,True,1.0
individual_has_either_Tuberculosis_or_Lung_Cancer,Lung_Cancer,False,0.0
individual_has_either_Tuberculosis_or_Lung_Cancer,Smoker,False,0.0
individual_has_either_Tuberculosis_or_Lung_Cancer,Tuberculosis,False,0.0
individual_has_either_Tuberculosis_or_Lung_Cancer,Visited_Asia,False,0.0
individual_has_either_Tuberculosis_or_Lung_Cancer,X-ray_Result,True,1.0
