var1,var2,answer,ratio_true_false
Arteriosclerosis,Cough_Up_Blood,False,0.0
Arteriosclerosis,Difficulty_Breathing,True,1.0
Arteriosclerosis,Eat_Fatty_Food,False,0.0
Arteriosclerosis,Left_Heart_Syndrome,True,1.0
Arteriosclerosis,Lung_Cancer,False,0.0
Arteriosclerosis,Lungs_Sound_Funny,False,0.0
Arteriosclerosis,Radon_Exposure,False,0.0
Arteriosclerosis,Right_Heart_Syndrome,True,1.0
Arteriosclerosis,Smoking,False,0.0
Cough_Up_Blood,Arteriosclerosis,False,0.0
Cough_Up_Blood,Difficulty_Breathing,False,0.42857142857142855
Cough_Up_Blood,Eat_Fatty_Food,False,0.0
Cough_Up_Blood,Left_Heart_Syndrome,False,0.0
Cough_Up_Blood,Lung_Cancer,False,0.0
Cough_Up_Blood,Lungs_Sound_Funny,False,0.0
Cough_Up_Blood,Radon_Exposure,False,0.0
Cough_Up_Blood,Right_Heart_Syndrome,False,0.0
Cough_Up_Blood,Smoking,False,0.0
Difficulty_Breathing,Arteriosclerosis,False,0.0
Difficulty_Breathing,Cough_Up_Blood,False,0.0
Difficulty_Breathing,Eat_Fatty_Food,False,0.0
Difficulty_Breathing,Left_Heart_Syndrome,False,0.0
Difficulty_Breathing,Lung_Cancer,False,0.0
Difficulty_Breathing,Lungs_Sound_Funny,True,1.0
Difficulty_Breathing,Radon_Exposure,False,0.0
Difficulty_Breathing,Right_Heart_Syndrome,False,0.0
Difficulty_Breathing,Smoking,False,0.0
Eat_Fatty_Food,Arteriosclerosis,True,1.0
Eat_Fatty_Food,Cough_Up_Blood,False,0.0
Eat_Fatty_Food,Difficulty_Breathing,False,0.0
Eat_Fatty_Food,Left_Heart_Syndrome,False,0.14285714285714285
Eat_Fatty_Food,Lung_Cancer,False,0.0
Eat_Fatty_Food,Lungs_Sound_Funny,False,0.0
Eat_Fatty_Food,Radon_Exposure,False,0.0
Eat_Fatty_Food,Right_Heart_Syndrome,False,0.0
Eat_Fatty_Food,Smoking,False,0.0
Left_Heart_Syndrome,Arteriosclerosis,False,0.0
Left_Heart_Syndrome,Cough_Up_Blood,True,1.0
Left_Heart_Syndrome,Difficulty_Breathing,True,1.0
Left_Heart_Syndrome,Eat_Fatty_Food,False,0.0
Left_Heart_Syndrome,Lung_Cancer,False,0.0
Left_Heart_Syndrome,Lungs_Sound_Funny,True,1.0
Left_Heart_Syndrome,Radon_Exposure,False,0.0
Left_Heart_Syndrome,Right_Heart_Syndrome,False,0.0
Left_Heart_Syndrome,Smoking,False,0.0
Lung_Cancer,Arteriosclerosis,False,0.0
Lung_Cancer,Cough_Up_Blood,True,1.0
Lung_Cancer,Difficulty_Breathing,True,1.0
Lung_Cancer,Eat_Fatty_Food,False,0.0
Lung_Cancer,Left_Heart_Syndrome,False,0.0
Lung_Cancer,Lungs_Sound_Funny,True,1.0
Lung_Cancer,Radon_Exposure,False,0.0
Lung_Cancer,Right_Heart_Syndrome,False,0.42857142857142855
Lung_Cancer,Smoking,False,0.0
Lungs_Sound_Funny,Arteriosclerosis,False,0.0
Lungs_Sound_Funny,Cough_Up_Blood,False,0.14285714285714285
Lungs_Sound_Funny,Difficulty_Breathing,False,0.42857142857142855
Lungs_Sound_Funny,Eat_Fatty_Food,False,0.0
Lungs_Sound_Funny,Left_Heart_Syndrome,False,0.0
Lungs_Sound_Funny,Lung_Cancer,False,0.0
Lungs_Sound_Funny,Radon_Exposure,False,0.0
Lungs_Sound_Funny,Right_Heart_Syndrome,False,0.0
Lungs_Sound_Funny,Smoking,False,0.0
Radon_Exposure,Arteriosclerosis,False,0.0
Radon_Exposure,Cough_Up_Blood,True,1.0
Radon_Exposure,Difficulty_Breathing,True,1.0
Radon_Exposure,Eat_Fatty_Food,False,0.0
Radon_Exposure,Left_Heart_Syndrome,False,0.0
Radon_Exposure,Lung_Cancer,True,1.0
Radon_Exposure,Lungs_Sound_Funny,True,1.0
Radon_Exposure,Right_Heart_Syndrome,False,0.0
Radon_Exposure,Smoking,False,0.0
Right_Heart_Syndrome,Arteriosclerosis,False,0.0
Right_Heart_Syndrome,Cough_Up_Blood,True,1.0
Right_Heart_Syndrome,Difficulty_Breathing,True,1.0
Right_Heart_Syndrome,Eat_Fatty_Food,False,0.0
Right_Heart_Syndrome,Left_Heart_Syndrome,False,0.0
Right_Heart_Syndrome,Lung_Cancer,False,0.0
Right_Heart_Syndrome,Lungs_Sound_Funny,True,1.0
Right_Heart_Syndrome,Radon_Exposure,False,0.0
Right_Heart_Syndrome,Smoking,False,0.0
Smoking,Arteriosclerosis,True,1.0
Smoking,Cough_Up_Blood,True,1.0
Smoking,Difficulty_Breathing,True,1.0
Smoking,Eat_Fatty_Food,False,0.0
Smoking,Left_Heart_Syndrome,False,0.0
Smoking,Lung_Cancer,True,1.0
Smoking,Lungs_Sound_Funny,True,1.0
Smoking,Radon_Exposure,False,0.0
Smoking,Right_Heart_Syndrome,True,1.0
